"lr_t","lesion","lr_rank","svr_t","svr_rank"
-0.43814154876675726,"PSIG_L",1,-58.70190500736472,1
-0.23544138125693412,"LG_L",2,-56.91493854977595,2
-0.2110810351807229,"FuG_L",3,19.41835722279975,26
-0.12509881148966837,"MTG_L_pole",4,-43.71600209458326,6
-0.11245113836512244,"PHG_L",5,-9.000712519403875,17
-0.05399707453600614,"rostral_ACC_L",6,-19.634670552052395,12
0.0,"subgenual_ACC_L",7,NaN,46
0.07537116043846198,"ENT_L",8,28.97261935968359,30
0.1861446850889691,"ITG_L",9,13.341310100990624,25
0.23903808576614052,"RG_L",10,35.70768843437864,33
0.2658607526624283,"subcallosal_ACC_L",11,36.39261564284181,34
0.33270013495885625,"Cu_L",12,-8.964206193824785,18
0.7122544470194058,"PrCu_L",13,37.624412728037406,35
1.0408307124601406,"SOG_L",14,-45.334526772796075,5
1.0427175809542248,"Amyg_L",15,-28.31760076676927,8
1.0667297714425423,"MTG_L",16,10.99198206009882,23
1.1030441651727936,"IOG_L",17,32.9381741864355,31
1.250262481217525,"Caud_L",18,48.38522678690074,40
1.3194368142257422,"MOG_L",19,-42.80155700782653,7
1.4521128241307981,"PCC_L",20,45.85727496512575,37
1.5374725494295387,"SFG_PFC_L",21,-27.553216189531646,9
1.565506926191217,"SFG_pole_L",22,-19.82416357310769,11
1.8653515642559344,"dorsal_ACC_L",23,24.18527390678813,29
1.873808564053457,"Thal_L",24,39.81672173156373,36
1.9746277549758775,"Hippo_L",25,33.459653304836536,32
2.020118128979585,"MFOG_L",26,23.35483875019583,28
2.247641961476007,"SFG_L",27,20.11098703485157,27
2.2950080016309546,"PSMG_L",28,51.72248695208268,41
2.7847502271300626,"GP_L",29,-6.868338620832402,19
2.894700559874204,"LFOG_L",30,-48.087406585159165,4
2.8987999815874006,"STG_L_pole",31,-51.8577949369542,3
3.241219522349538,"Put_L",32,-2.532172517837608,20
3.2520304429132105,"MFG_DPFC_L",33,-13.413824802208227,14
3.370290439068306,"SPG_L",34,67.50642989249724,44
4.001121811557528,"AG_L",35,13.088987982726636,24
4.005500213339447,"IFG_orbitalis_L",36,1.449832227000735,22
4.706751363467416,"STG_L",37,-13.797491207293493,13
5.390365591337243,"PSTG_L",38,46.17778406113221,38
5.848077546073685,"Ins_L",39,-11.955239218385572,15
5.966659510135278,"IFG_triangularis_L",40,-9.957362827455995,16
6.093603351889842,"PoCG_L",41,-22.055417967417828,10
6.1969090400546865,"MFG_L",42,-0.7095657950643259,21
6.648085105887945,"PIns_L",43,48.11596164090088,39
7.446515065865563,"IFG_opercularis_L",44,65.2014167930035,43
7.536073357570267,"PrCG_L",45,74.18488618557869,45
7.662235664543876,"SMG_L",46,60.05529114044218,42
